0.000300 -0.000068 0.999838
0.000399 -0.000198 0.999757
0.000428 -0.000362 0.999676
0.000380 -0.000524 0.999594
0.000261 -0.000649 0.999513
0.000095 -0.000709 0.999432
-0.000082 -0.000687 0.999351
-0.000234 -0.000585 0.999270
-0.000325 -0.000422 0.999189
-0.000334 -0.000231 0.999108
-0.000253 -0.000054 0.999027
-0.000101 0.000069 0.998946
0.000095 0.000110 0.998865
0.000292 0.000058 0.998784
0.000447 -0.000080 0.998703
0.000524 -0.000277 0.998622
0.000504 -0.000491 0.998541
0.000387 -0.000678 0.998460
0.000194 -0.000794 0.998379
-0.000035 -0.000810 0.998298
-0.000250 -0.000720 0.998218
-0.000404 -0.000540 0.998137
-0.000461 -0.000304 0.998056
-0.000405 -0.000064 0.997975
-0.000243 0.000129 0.997894
-0.000007 0.000230 0.997813
0.000254 0.000214 0.997732
0.000483 0.000079 0.997651
0.000629 -0.000149 0.997570
0.000657 -0.000423 0.997489
0.000556 -0.000685 0.997408
0.000344 -0.000878 0.997327
0.000061 -0.000956 0.997247
-0.000229 -0.000896 0.997166
-0.000467 -0.000709 0.997085
-0.000596 -0.000429 0.997004
-0.000586 -0.000115 0.996923
-0.000432 0.000166 0.996843
-0.000162 0.000351 0.996762
0.000169 0.000394 0.996681
0.000489 0.000283 0.996600
0.000728 0.000034 0.996519
0.000830 -0.000303 0.996438
0.000770 -0.000656 0.996357
0.000552 -0.000950 0.996277
0.000220 -0.001116 0.996196
-0.000160 -0.001114 0.996115
-0.000505 -0.000938 0.996034
-0.000737 -0.000620 0.995954
-0.000801 -0.000224 0.995873
-0.000678 0.000165 0.995792
-0.000387 0.000463 0.995712
0.000015 0.000599 0.995631
0.000442 0.000539 0.995550
0.000804 0.000286 0.995469
0.001016 -0.000109 0.995388
0.001027 -0.000565 0.995308
0.000827 -0.000986 0.995227
0.000453 -0.001277 0.995146
-0.000022 -0.001369 0.995065
-0.000496 -0.001234 0.994985
-0.000866 -0.000893 0.994904
-0.001045 -0.000412 0.994824
-0.000988 0.000107 0.994743
-0.000696 0.000552 0.994663
-0.000227 0.000823 0.994582
0.000323 0.000853 0.994501
