0 0 1 0 0 1
0 0 -1 0 0 -1
0.28 0.85 0.45 0.28 0.85 0.45 
-0.28 -0.85 -0.45 -0.28 -0.85 -0.45 
-0.72 0.53 0.45 -0.72 0.53 0.45 
0.72 -0.53 -0.45 0.72 -0.53 -0.45
-0.72 -0.53 0.45 -0.72 -0.53 0.45 
0.72 0.53 -0.45 0.72 0.53 -0.45 
0.28 -0.85 0.45 0.28 -0.85 0.45 
-0.28 0.85 -0.45 -0.28 0.85 -0.45
0.89 0 0.45 0.89 0 0.45 
-0.89 0 -0.45 -0.89 0 -0.45
0 0 1 1 0 0
0 0 1 0.31 0.95 0
0 0 1 -0.81 0.59 0
0 0 1 -0.81 -0.59 0
0 0 1 0.31 -0.95 0
0 0 -1 -1 0 0
0 0 -1 -0.31 0.95 0
0 0 -1 0.81 0.59 0
0 0 -1 0.81 -0.59 0
0 0 -1 -0.31 -0.95 0
0.28 0.85 0.45 0.67 0.16 -0.72
0.28 0.85 0.45 -0.45 0.53 -0.72
0.28 0.85 0.45 -0.95 0.16 0.28
0.28 0.85 0.45 -0.14 -0.43 0.89
0.28 0.85 0.45 0.86 -0.43 0.28
-0.28 -0.85 -0.45 0.45 -0.53 0.72
-0.28 -0.85 -0.45 -0.67 -0.16 0.72
-0.28 -0.85 -0.45 -0.86 0.43 -0.28
-0.28 -0.85 -0.45 0.14 0.43 -0.89
-0.28 -0.85 -0.45 0.95 -0.16 -0.28
-0.72 0.53 0.45 0.67 0.69 0.28
-0.72 0.53 0.45 0.05 0.69 -0.72
-0.72 0.53 0.45 -0.64 -0.26 -0.72
-0.72 0.53 0.45 -0.45 -0.85 0.28
-0.72 0.53 0.45 0.36 -0.26 0.89
0.72 -0.53 -0.45 0.45 0.85 -0.28
0.72 -0.53 -0.45 0.64 0.26 0.72
0.72 -0.53 -0.45 -0.05 -0.69 0.72
0.72 -0.53 -0.45 -0.67 -0.69 -0.28
0.72 -0.53 -0.45 -0.36 0.26 -0.89
-0.72 -0.53 0.45 0.36 0.26 0.89
-0.72 -0.53 0.45 -0.45 0.85 0.28
-0.72 -0.53 0.45 -0.64 0.26 -0.72
-0.72 -0.53 0.45 0.05 -0.69 -0.72
-0.72 -0.53 0.45 0.67 -0.69 0.28
0.72 0.53 -0.45 -0.36 -0.26 -0.89
0.72 0.53 -0.45 -0.67 0.69 -0.28
0.72 0.53 -0.45 -0.05 0.69 0.72
0.72 0.53 -0.45 0.64 -0.26 0.72
0.72 0.53 -0.45 0.45 -0.85 -0.28
0.28 -0.85 0.45 0.86 0.43 0.28
0.28 -0.85 0.45 -0.14 0.43 0.89
0.28 -0.85 0.45 -0.95 -0.16 0.28
0.28 -0.85 0.45 -0.45 -0.53 -0.72
0.28 -0.85 0.45 0.67 -0.16 -0.72
-0.28 0.85 -0.45 0.95 0.16 -0.28
-0.28 0.85 -0.45 0.14 -0.43 -0.89
-0.28 0.85 -0.45 -0.86 -0.43 -0.28
-0.28 0.85 -0.45 -0.67 0.16 0.72
-0.28 0.85 -0.45 0.45 0.53 0.72
0.89 0 0.45 0.36 0.59 -0.72
0.89 0 0.45 -0.14 0.95 0.28
0.89 0 0.45 -0.45 0 0.89
0.89 0 0.45 -0.14 -0.95 0.28
0.89 0 0.45 0.36 -0.59 -0.72
-0.89 0 -0.45 -0.36 0.59 0.72
-0.89 0 -0.45 0.14 0.95 -0.28
-0.89 0 -0.45 0.45 0 -0.89
-0.89 0 -0.45 0.14 -0.95 -0.28
-0.89 0 -0.45 -0.36 -0.59 0.72
